Year,Country_Name,Country_Code,Current_GDP,GDP_growth_annual,GDP_per_capita,Land_area,Weighted_gdp
2019,East Asia & Pacific (excluding high income),EAP,1.71354E+13,5.775749149,8145.345437,16019326.9,80.22031958
2020,East Asia & Pacific (excluding high income),EAP,1.74489E+13,1.37857513,8254.670871,16019326.9,63.16270573
2016,East Asia & Pacific (IDA & IBRD countries),TEA,1.35429E+13,6.579035014,6648.812448,15899484.9,76.77721171
2017,East Asia & Pacific (IDA & IBRD countries),TEA,1.48005E+13,6.702805215,7210.916994,15899195.2,79.59787686
2018,East Asia & Pacific (IDA & IBRD countries),TEA,1.65539E+13,6.515541853,8012.14971,15899196.9,82.11971305
2019,East Asia & Pacific (IDA & IBRD countries),TEA,1.71136E+13,5.775833997,8235.583677,15899196.9,80.15379999
2020,East Asia & Pacific (IDA & IBRD countries),TEA,1.74267E+13,1.378306114,8346.03881,15899196.9,63.09601678
2016,Ecuador,ECU,99937696000,-1.226383985,6060.092962,248360,5.185275079
2017,Ecuador,ECU,1.04296E+11,2.368386526,6213.503127,248360,19.81221618
2018,Ecuador,ECU,1.07562E+11,1.289291933,6295.934662,248360,15.63007497
2019,Ecuador,ECU,1.08108E+11,0.012105103,6222.524653,248360,10.40572691
2020,Ecuador,ECU,98808010000,-7.750123377,5600.389615,248360,-21.63878447
2016,"Egypt, Arab Rep.",EGY,3.32442E+11,4.346643453,3519.87324,995450,24.87092118
2017,"Egypt, Arab Rep.",EGY,2.35734E+11,4.181221001,2444.290387,995450,22.39590862
2018,"Egypt, Arab Rep.",EGY,2.49713E+11,5.314121037,2537.125185,995450,27.09045069
2019,"Egypt, Arab Rep.",EGY,3.03081E+11,5.557683888,3019.092283,995450,28.88870689
