Year,Country Name,Country Code,Current GDP ($),GDP growth (annual %),GDP per capita ($),Gini index,%individuals using internet,Interest payments (% of expense),Interest payments (% of revenue),Land area (sq.km),Life expectancy at birth,Military expenditure (% of GDP)
2019,Benin,BEN,14391686632.7821,6.86568733550151,1219.51550596905,..,29,..,..,112760,61.771,0.472934841224128
2016,Benin,BEN,11821066152.5979,3.33967342629693,1087.28733148547,..,11.99,..,..,112760,60.885,0.673596727016815
2018,Benin,BEN,14262407011.5254,6.69725946087986,1241.82529800958,..,26,..,..,112760,61.47,0.6328575401476
2019,Bermuda,BMU,7484113000,0.45988994302148,117098.446325474,..,..,..,..,54,81.8665853658537,..
2016,Bermuda,BMU,6899911000,-0.657206304259205,106885.878489327,..,98,..,..,54,81.2270731707317,..
2020,Bermuda,BMU,6842700000,-6.34408024589787,107079.479836627,..,..,..,..,54,..,..
2017,Bermuda,BMU,7142316000,3.61141983706115,111820.581466347,..,98.37,..,..,54,81.4419512195122,..
2018,Bermuda,BMU,7224329000,-0.432801300339307,113023.185594268,..,..,..,..,54,81.6517073170732,..
2019,Bhutan,BTN,2535657068.96575,5.75516999517272,3322.86332871934,..,..,..,..,38140,71.777,..
2017,Bhutan,BTN,2450364928.07302,4.65183467529606,3286.59674376682,37.4,..,6.72177240026464,4.67268019590186,38144,71.129,..
2018,Bhutan,BTN,2446866404.93058,3.05512983672538,3243.47743748718,..,..,6.29207667157816,4.13964586371201,38140,71.46,..
2016,Bhutan,BTN,2158972129.00307,8.1270335383894,2930.5749227006,..,41.77264453,7.55862533332889,5.00174619607642,38144,70.781,..
2020,Bhutan,BTN,2315437338.08809,-10.0763411241337,3000.77932702976,..,..,..,..,38140,..,..
2017,Bolivia,BOL,37508642165.3366,4.1952063010676,3351.12434384125,44.6,43.83227607,..,..,1083300,70.945,1.53627769434853
2019,Bolivia,BOL,40895322843.7851,2.21670577750376,3552.06814321502,41.6,47.47481911,..,..,1083300,71.513,1.46363757366852
2016,Bolivia,BOL,33941126200.0606,4.26392083751466,3076.65643989367,45.3,39.6975146,..,..,1083300,70.626,1.6279329716805
