,Year,Country Name,Country Code,"Compulsory education, duration (years)","Current education expenditure, secondary (% of total expenditure in secondary public institutions)","Government expenditure on education, total (% of GDP)","Government expenditure on education, total (% of government expenditure)",Weighted World Education
108,2019,Belgium,BEL,0.7058823529411765,0.7661700477156527,0.4687526179417377,0.2610752092482716,5.491293407432077
109,2020,Belgium,BEL,0.7058823529411765,0.7719195053723017,0.46560408315278123,0.26170257408350855,5.509876262986471
110,2016,Belize,BLZ,0.47058823529411764,0.0,0.5397642015686155,0.4368272972606782,2.8605985302133834
111,2017,Belize,BLZ,0.47058823529411764,0.0,0.5513555565577395,0.4614681153988811,2.95770369460624
112,2018,Belize,BLZ,0.47058823529411764,0.0,0.5529829061946351,0.47116771421862674,2.990057190339268
113,2019,Belize,BLZ,0.47058823529411764,0.0,0.5282742295161471,0.4707558377745691,2.939404207650119
114,2020,Belize,BLZ,0.47058823529411764,0.0,0.5876681508168751,0.4585378390299891,3.021538054017835
115,2016,Benin,BEN,0.35294117647058826,0.0,0.21454695519128242,0.40037990979276,1.983174816231433
116,2017,Benin,BEN,0.35294117647058826,0.0,0.2616501803825819,0.42356674515686643,2.1469417727063513
117,2018,Benin,BEN,0.35294117647058826,0.0,0.2171274914600841,0.37732153436350124,1.91916076248126
118,2019,Benin,BEN,0.35294117647058826,0.0,0.21943865541877156,0.36579234664887184,1.889195527254747
119,2020,Benin,BEN,0.35294117647058826,0.0,0.22106922216126795,0.35426315893424243,1.8578690975958514
120,2016,Bermuda,BMU,0.7647058823529411,0.703193434314701,0.09805323235832822,0.16562582014617572,4.27046354476693
121,2017,Bermuda,BMU,0.7647058823529411,0.703193434314701,0.09805323235832822,0.16562582014617572,4.27046354476693
122,2018,Bermuda,BMU,0.7647058823529411,0.703193434314701,0.09805323235832822,0.16562582014617572,4.27046354476693
123,2019,Bermuda,BMU,0.7647058823529411,0.703193434314701,0.09805323235832822,0.16562582014617572,4.27046354476693
124,2020,Bermuda,BMU,0.7647058823529411,0.703193434314701,0.09805323235832822,0.16562582014617572,4.27046354476693
125,2016,Bhutan,BTN,0.0,0.0,0.5175391068886682,0.5250615538881108,2.610262875441669
126,2017,Bhutan,BTN,0.0,0.0,0.5347385297716831,0.4997936757073057,2.5688580866652835
127,2018,Bhutan,BTN,0.0,0.0,0.5069941875429761,0.4661540786090284,2.4124506109130373
128,2019,Bhutan,BTN,0.0,0.0,0.50172172787013,0.43429479559671524,2.306327842530406
129,2020,Bhutan,BTN,0.0,0.0,0.496449268197284,0.3363311314300796,2.0018919306848066
130,2016,Bolivia,BOL,0.8235294117647058,0.0,0.0,0.0,0.8235294117647058
131,2017,Bolivia,BOL,0.8235294117647058,0.0,0.0,0.0,0.8235294117647058
132,2018,Bolivia,BOL,0.8235294117647058,0.0,0.0,0.0,0.8235294117647058
133,2019,Bolivia,BOL,0.8235294117647058,0.0,0.0,0.0,0.8235294117647058
134,2020,Bolivia,BOL,0.8235294117647058,0.0,0.0,0.0,0.8235294117647058
135,2016,Bosnia and Herzegovina,BIH,0.5294117647058824,0.7722117718453892,0.0,0.0,3.6182588520874392
136,2017,Bosnia and Herzegovina,BIH,0.5294117647058824,0.7722117718453892,0.0,0.0,3.6182588520874392
137,2018,Bosnia and Herzegovina,BIH,0.5294117647058824,0.7722117718453892,0.0,0.0,3.6182588520874392
