,Country Name,Country Code,Year,Control of Corruption Score,Government Effectiveness Score,Political Stability Score,Regulatory Quality Score,Rule of Law Score,Free Speech Score,Weighted Governance
189,Central African Republic,CAF,2020,-1.28198,-1.689749,-2.178489,-1.537033,-1.711812,-1.273128,-33.382908
190,Chad,TCD,2016,-1.487701,-1.51189,-1.302365,-1.180022,-1.378202,-1.362297,-28.172626
191,Chad,TCD,2017,-1.433071,-1.463329,-1.287528,-1.207961,-1.291439,-1.370896,-27.962861
192,Chad,TCD,2018,-1.405133,-1.524279,-1.483272,-1.113601,-1.301453,-1.468215,-28.994939
193,Chad,TCD,2019,-1.420671,-1.568414,-1.343743,-1.119378,-1.283379,-1.434415,-28.408315
194,Chad,TCD,2020,-1.41457,-1.460003,-1.264458,-1.137971,-1.305166,-1.419714,-27.780286
195,Chile,CHL,2016,1.140084,1.010372,0.4131105,1.373064,1.129331,0.9956857,20.9324912
196,Chile,CHL,2017,1.106465,0.9961624,0.4171355,1.350113,1.149239,1.000417,20.7722652
197,Chile,CHL,2018,1.039679,1.07547,0.4273602,1.335477,1.091852,1.024111,20.929111799999998
198,Chile,CHL,2019,1.066971,1.060289,0.0079297,1.223731,1.074586,0.9911498,18.4866676
199,Chile,CHL,2020,1.146561,0.9887357,0.0706187,1.052093,1.067767,1.016067,17.9664379
200,China,CHN,2016,-0.2539508,0.3545941,-0.499395,-0.2644748,-0.3345477,-1.559632,-12.456413
201,China,CHN,2017,-0.27085,0.4137717,-0.2310181,-0.1467606,-0.2667109,-1.503779,-10.247645200000001
202,China,CHN,2018,-0.2679587,0.4792704,-0.3000233,-0.1862563,-0.2028825,-1.463188,-10.2114914
203,China,CHN,2019,-0.2951186,0.5170006,-0.2566892,-0.2445802,-0.2746037,-1.628118,-11.3322049
204,China,CHN,2020,-0.0658865,0.6479592,-0.291068,-0.0808021,-0.0595887,-1.648466,-9.706562600000002
205,Colombia,COL,2016,-0.3241391,0.0152157,-0.8824593,0.4020093,-0.2789232,0.1218224,-1.6704105999999994
206,Colombia,COL,2017,-0.3722761,-0.07508,-0.7727076,0.3411354,-0.3629579,0.1124623,-2.0431297000000006
207,Colombia,COL,2018,-0.2857142,-0.0860052,-0.7969317,0.3176741,-0.4062347,0.1635418,-1.8537842
208,Colombia,COL,2019,-0.2363339,0.0707119,-0.9495016,0.3965637,-0.4168378,0.2048455,-1.2634847999999996
209,Colombia,COL,2020,-0.181955,0.0402886,-0.6735995,0.3171094,-0.4912356,0.1492503,-0.9476290000000002
210,Comoros,COM,2016,-0.6657364,-1.552763,0.0357599,-1.049556,-0.9987311,-0.2902683,-13.8348431
211,Comoros,COM,2017,-0.6877698,-1.559369,0.0361181,-1.035068,-1.051716,-0.3355786,-14.1497018
212,Comoros,COM,2018,-0.805908,-1.62861,-0.3462803,-1.110248,-1.071624,-0.5005819,-17.5091226
213,Comoros,COM,2019,-1.020556,-1.669251,-0.1546992,-1.118452,-1.086838,-0.7095864,-18.604278199999996
214,Comoros,COM,2020,-1.19349,-1.593477,-0.2917943,-1.178481,-1.199232,-0.7638819,-20.0095166
215,"Congo, Dem. Rep.",COD,2016,-1.337154,-1.510926,-2.234622,-1.323978,-1.618813,-1.409874,-32.843521
216,"Congo, Dem. Rep.",COD,2017,-1.416593,-1.627224,-2.302249,-1.463433,-1.682099,-1.463378,-34.703386
217,"Congo, Dem. Rep.",COD,2018,-1.502247,-1.552124,-2.105781,-1.4711,-1.779271,-1.507798,-34.265549
218,"Congo, Dem. Rep.",COD,2019,-1.545593,-1.62692,-1.593899,-1.50859,-1.786273,-1.313627,-31.558527
219,"Congo, Dem. Rep.",COD,2020,-1.572393,-1.692743,-1.708182,-1.540846,-1.79057,-1.281867,-32.241745
220,"Congo, Rep.",COG,2016,-1.186817,-1.096853,-0.5192695,-1.165628,-1.095829,-1.160179,-21.626314
221,"Congo, Rep.",COG,2017,-1.329081,-1.196112,-0.531724,-1.327535,-1.101178,-1.121606,-22.841883000000003
222,"Congo, Rep.",COG,2018,-1.350381,-1.211082,-0.3484042,-1.330903,-1.098704,-1.197621,-22.666569800000005
223,"Congo, Rep.",COG,2019,-1.409202,-1.387316,-0.8969635,-1.299283,-1.149737,-1.279171,-25.889384
